net,length_um
clknet_leaf_89_CLK,89.88
_3412_,89.82
clknet_leaf_26_CLK,89.64
clknet_leaf_99_CLK,89.28
net50,89.24
_3704_,89.2
_3094_,89.08
clknet_leaf_23_CLK,88.94
_3115_,88.7
net59,88.3
_3557_,88.27
_1641_,88.14
_3593_,87.32
net36,86.9
net31,86.82
_1753_,86.54
_1024_,86.44
clknet_leaf_68_CLK,86.3
_2660_,85.87
clknet_leaf_73_CLK,85.66
_2309_,85.23
_2722_,85.09
clknet_leaf_82_CLK,85.06
_1833_,84.4
_2418_,84.305
clknet_leaf_104_CLK,84.295
clknet_leaf_88_CLK,84.16
clknet_leaf_60_CLK,83.9
_1114_,82.86
clknet_leaf_3_CLK,82.64
clknet_leaf_36_CLK,82.26
_1955_,82.22
_2588_,82.18
net57,81.88
clknet_leaf_75_CLK,81.88
_1246_,81.46
_1092_,81.435
_3079_,81.42
clknet_leaf_63_CLK,81.36
clknet_leaf_22_CLK,80.87
clknet_leaf_87_CLK,80.16
clknet_leaf_79_CLK,79.9
clknet_leaf_57_CLK,79.72
_2200_,79.2
clknet_leaf_105_CLK,78.42
clknet_leaf_2_CLK,78.38
_2568_,78.36
_2613_,78.28
clknet_leaf_94_CLK,78.28
clknet_leaf_45_CLK,78.14
clknet_leaf_42_CLK,77.64
clknet_leaf_31_CLK,76.96
clknet_leaf_76_CLK,76.88
_1583_,76.86
clknet_leaf_71_CLK,76.74
clknet_leaf_34_CLK,76.48
clknet_leaf_14_CLK,76.02
_1247_,75.3
clknet_leaf_95_CLK,75.22
net43,75.18
_2683_,74.8
_2430_,74.44
_2585_,73.84
_1150_,73.34
_2489_,73.315
_2642_,73.3
clknet_leaf_90_CLK,72.715
clknet_leaf_70_CLK,72.54
_2666_,72.34
clknet_leaf_32_CLK,72.3
_1580_,72.12
net52,72.06
_1616_,71.86
clknet_leaf_61_CLK,71.62
_2361_,71.3
clknet_leaf_37_CLK,70.94
_2853_,70.93
clknet_leaf_101_CLK,70.74
clknet_leaf_52_CLK,70.6
net33,70.56
_2533_,70.52
net55,70.46
net48,70.45
_2670_,70.33
_1367_,70.24
clknet_leaf_81_CLK,70.23
net44,70.08
clknet_leaf_49_CLK,70.06
clknet_leaf_100_CLK,69.96
net58,69.46
_3447_,69.09
_1078_,68.88
clknet_leaf_20_CLK,68.86
_2381_,68.54
net53,68.52
_2712_,68.34
_2749_,67.82
clknet_leaf_18_CLK,67.48
_2199_,67.24
_1490_,67.22
_2785_,66.93
clknet_leaf_74_CLK,66.7
_1895_,66.28
net14,65.9
_1511_,65.62
clknet_leaf_102_CLK,65.56
_1196_,65.1
_2035_,64.82
clknet_leaf_50_CLK,64.54
clknet_leaf_51_CLK,64.28
_2778_,64.27
clknet_leaf_30_CLK,64.24
_2011_,64.14
clknet_leaf_64_CLK,64.14
clknet_leaf_43_CLK,63.68
clknet_leaf_86_CLK,63.64
_1238_,63.22
clknet_leaf_47_CLK,63.12
_2313_,63.035
clknet_leaf_25_CLK,62.96
_2343_,62.84
_2066_,62.67
net25,62.4
clknet_leaf_46_CLK,62.32
clknet_leaf_5_CLK,62.18
net41,62
clknet_leaf_85_CLK,61.92
clknet_leaf_103_CLK,61.565
A2[3],61.51
clknet_leaf_11_CLK,61.28
net49,61.04
_1892_,61.02
_2522_,61.02
clknet_leaf_17_CLK,60.96
_2972_,60.79
net77,60.47
net78,60.46
clknet_leaf_72_CLK,60.44
net61,60.41
clknet_leaf_62_CLK,60.38
_2973_,60.18
net40,60.16
_1214_,60.06
clknet_leaf_98_CLK,59.95
_1935_,59.8
_1988_,59.78
_2975_,59.46
_1446_,59.4
_2490_,59.31
_1555_,59.04
net17,58.76
_1248_,58.64
_2841_,58.58
_1524_,58.36
_1127_,58.26
_2486_,58.11
net60,58.06
_2474_,57.99
_2974_,57.82
_2148_,57.68
_3268_,57.63
A2[2],57.55
_2859_,57.38
net24,57.36
_1877_,57.3
clknet_leaf_39_CLK,57.12
_2545_,57.11
_2634_,56.965
_2436_,56.95
clknet_leaf_6_CLK,56.8
clknet_leaf_97_CLK,56.74
net80,56.6
net54,56.38
_2330_,56.35
clknet_leaf_92_CLK,56.26
clknet_leaf_9_CLK,56.06
net42,55.52
_2627_,55.18
A3[3],55.15
net63,55.04
net21,54.74
_2582_,54.46
_1437_,54.34
_1392_,54.06
net71,54.02
net75,54
net19,53.72
_1540_,53.66
_2808_,53.46
_2534_,53.42
clknet_leaf_44_CLK,53.32
_2334_,53.21
net81,53.2
A3[2],53.05
net20,53
clknet_leaf_41_CLK,52.54
_2166_,52.5
_2386_,52.46
_2477_,52.44
_2602_,52.44
clknet_leaf_53_CLK,52.3
net73,52.26
_1457_,52.22
_1406_,51.92
_2453_,51.92
clknet_leaf_38_CLK,51.84
_2658_,51.76
WD3[2],51.49
net46,51.44
_2996_,51.39
_2433_,51.16
_1652_,50.785
_2597_,50.74
A3[4],50.55
_2401_,50.5
_2244_,50.14
_2131_,49.8
_3556_,49.32
clknet_leaf_27_CLK,49.28
_1209_,49.2
net64,49.02
_1481_,48.88
RF.reg_arr\[21\]\[3\],48.8
_1828_,48.78
clknet_leaf_58_CLK,48.78
_1819_,48.72
_2193_,48.48
_2756_,48.47
net76,48.4
net74,48.34
net38,48.28
net51,48.06
_2524_,47.99
A2[4],47.85
_2320_,47.68
WD3[19],47.61
_2094_,47.56
net12,47.5
A1[3],47.27
_2262_,47.2
WD3[9],47.17
_2023_,47.16
_2437_,47.12
RF.reg_arr\[2\]\[19\],47.055
net37,46.82
A1[2],46.71
_1736_,46.7
net62,46.62
net79,46.56
_2594_,46.46
_1744_,46.43
clknet_leaf_19_CLK,46.4
clknet_leaf_21_CLK,46.36
_1945_,46.34
A1[1],46.31
net4,46.26
WD3[23],45.99
_2680_,45.8
WD3[14],45.46
_2697_,45.22
_2583_,44.82
_1338_,44.72
WD3[3],44.67
WD3[20],44.63
_1971_,44.58
A1[4],44.45
net22,44.44
_3057_,44.34
net23,44.28
A3[0],44.25
_2595_,44.16
_2976_,44.06
